data,descricao,valor,categoria
2023-04-07,Transporte,76.00,Transporte
2023-04-12,Internet,116.00,Moradia
2023-04-15,Restaurante,86.00,Alimentação
2023-04-20,Remédio,56.00,Saúde
2023-04-25,Faculdade,530.00,Educação
2023-05-03,Padaria,48.00,Alimentação
2023-05-07,Transporte,78.00,Transporte
2023-05-12,Internet,118.00,Moradia
2023-05-15,Restaurante,88.00,Alimentação
2023-05-20,Remédio,58.00,Saúde
2023-05-25,Faculdade,540.00,Educação
2023-06-03,Padaria,50.00,Alimentação
2023-06-07,Transporte,80.00,Transporte
2023-06-12,Internet,120.00,Moradia
2023-06-15,Restaurante,90.00,Alimentação
2023-06-20,Remédio,60.00,Saúde
2023-06-25,Faculdade,550.00,Educação
2023-07-03,Padaria,52.00,Alimentação
2023-07-07,Transporte,82.00,Transporte
2023-07-12,Internet,122.00,Moradia
2023-07-15,Restaurante,92.00,Alimentação
2023-07-20,Remédio,62.00,Saúde
2023-07-25,Faculdade,560.00,Educação
2023-08-03,Padaria,54.00,Alimentação
2023-08-07,Transporte,84.00,Transporte
2023-08-12,Internet,124.00,Moradia
2023-08-15,Restaurante,94.00,Alimentação
2023-08-20,Remédio,64.00,Saúde
2023-08-25,Faculdade,570.00,Educação
2023-09-03,Padaria,56.00,Alimentação
2023-09-07,Transporte,86.00,Transporte
2023-09-12,Internet,126.00,Moradia
2023-09-15,Restaurante,96.00,Alimentação
2023-09-20,Remédio,66.00,Saúde
2023-09-25,Faculdade,580.00,Educação
2023-10-03,Padaria,58.00,Alimentação
2023-10-07,Transporte,88.00,Transporte
2023-10-12,Internet,128.00,Moradia
2023-10-15,Restaurante,98.00,Alimentação
2023-10-20,Remédio,68.00,Saúde
2023-10-25,Faculdade,590.00,Educação
2023-11-03,Padaria,60.00,Alimentação
2023-11-07,Transporte,90.00,Transporte
2023-11-12,Internet,130.00,Moradia
2023-11-15,Restaurante,100.00,Alimentação
2023-11-20,Remédio,70.00,Saúde
2023-11-25,Faculdade,600.00,Educação
2023-12-03,Padaria,62.00,Alimentação
2023-12-07,Transporte,92.00,Transporte
2023-12-12,Internet,132.00,Moradia
2023-12-15,Restaurante,102.00,Alimentação
2023-12-20,Remédio,72.00,Saúde
2023-12-25,Faculdade,610.00,Educação
2022-01-03,Padaria,38.00,Alimentação
2022-01-07,Transporte,68.00,Transporte
2022-01-12,Internet,108.00,Moradia
2022-01-15,Restaurante,78.00,Alimentação
2022-01-20,Remédio,48.00,Saúde
2022-01-25,Faculdade,480.00,Educação
2022-02-03,Padaria,39.00,Alimentação
2022-02-07,Transporte,69.00,Transporte
2022-02-12,Internet,109.00,Moradia
2022-02-15,Restaurante,79.00,Alimentação
2022-02-20,Remédio,49.00,Saúde
2022-02-25,Faculdade,485.00,Educação
2022-03-03,Padaria,40.00,Alimentação
2022-03-07,Transporte,70.00,Transporte
2022-03-12,Internet,110.00,Moradia
2022-03-15,Restaurante,80.00,Alimentação
2022-03-20,Remédio,50.00,Saúde
2022-03-25,Faculdade,490.00,Educação
2022-04-03,Padaria,41.00,Alimentação
2022-04-07,Transporte,71.00,Transporte
2022-04-12,Internet,111.00,Moradia
2022-04-15,Restaurante,81.00,Alimentação
2022-04-20,Remédio,51.00,Saúde
2022-04-25,Faculdade,495.00,Educação
2022-05-03,Padaria,42.00,Alimentação
2022-05-07,Transporte,72.00,Transporte
2022-05-12,Internet,112.00,Moradia
2022-05-15,Restaurante,82.00,Alimentação
2022-05-20,Remédio,52.00,Saúde
2022-05-25,Faculdade,500.00,Educação
2022-06-03,Padaria,43.00,Alimentação
2022-06-07,Transporte,73.00,Transporte
2022-06-12,Internet,113.00,Moradia
2022-06-15,Restaurante,83.00,Alimentação
2022-06-20,Remédio,53.00,Saúde
2022-06-25,Faculdade,505.00,Educação
2022-07-03,Padaria,44.00,Alimentação
2022-07-07,Transporte,74.00,Transporte
2022-07-12,Internet,114.00,Moradia
2022-07-15,Restaurante,84.00,Alimentação
2022-07-20,Remédio,54.00,Saúde
2022-07-25,Faculdade,510.00,Educação
2022-08-03,Padaria,45.00,Alimentação
2022-08-07,Transporte,75.00,Transporte
2022-08-12,Internet,115.00,Moradia
2022-08-15,Restaurante,85.00,Alimentação
2022-08-20,Remédio,55.00,Saúde
2022-08-25,Faculdade,515.00,Educação
2022-09-03,Padaria,46.00,Alimentação
2022-09-07,Transporte,76.00,Transporte
2022-09-12,Internet,116.00,Moradia
2022-09-15,Restaurante,86.00,Alimentação
2022-09-20,Remédio,56.00,Saúde
2022-09-25,Faculdade,520.00,Educação
2022-10-03,Padaria,47.00,Alimentação
2022-10-07,Transporte,77.00,Transporte
2022-10-12,Internet,117.00,Moradia
2022-10-15,Restaurante,87.00,Alimentação
2022-10-20,Remédio,57.00,Saúde
2022-10-25,Faculdade,525.00,Educação
2022-11-03,Padaria,48.00,Alimentação
2022-11-07,Transporte,78.00,Transporte
2022-11-12,Internet,118.00,Moradia
2022-11-15,Restaurante,88.00,Alimentação
2022-11-20,Remédio,58.00,Saúde
2022-11-25,Faculdade,530.00,Educação
2022-12-03,Padaria,49.00,Alimentação
2022-12-07,Transporte,79.00,Transporte
2022-12-12,Internet,119.00,Moradia
2022-12-15,Restaurante,89.00,Alimentação
2022-12-20,Remédio,59.00,Saúde
2022-12-25,Faculdade,535.00,Educação
2021-01-03,Padaria,36.00,Alimentação
2021-01-07,Transporte,66.00,Transporte
2021-01-12,Internet,106.00,Moradia
2021-01-15,Restaurante,76.00,Alimentação
2021-01-20,Remédio,46.00,Saúde
2021-01-25,Faculdade,460.00,Educação
2021-02-03,Padaria,37.00,Alimentação
2021-02-07,Transporte,67.00,Transporte
2021-02-12,Internet,107.00,Moradia
2021-02-15,Restaurante,77.00,Alimentação
2021-02-20,Remédio,47.00,Saúde
2021-02-25,Faculdade,465.00,Educação
2021-03-03,Padaria,38.00,Alimentação
2021-03-07,Transporte,68.00,Transporte
2021-03-12,Internet,108.00,Moradia
2021-03-15,Restaurante,78.00,Alimentação
2021-03-20,Remédio,48.00,Saúde
2021-03-25,Faculdade,470.00,Educação
2021-04-03,Padaria,39.00,Alimentação
2021-04-07,Transporte,69.00,Transporte
2021-04-12,Internet,109.00,Moradia
2021-04-15,Restaurante,79.00,Alimentação
2021-04-20,Remédio,49.00,Saúde
2021-04-25,Faculdade,475.00,Educação
2021-05-03,Padaria,40.00,Alimentação
2021-05-07,Transporte,70.00,Transporte
2021-05-12,Internet,110.00,Moradia
2021-05-15,Restaurante,80.00,Alimentação
2021-05-20,Remédio,50.00,Saúde
2021-05-25,Faculdade,480.00,Educação
2021-06-03,Padaria,41.00,Alimentação
2021-06-07,Transporte,71.00,Transporte
2021-06-12,Internet,111.00,Moradia
2021-06-15,Restaurante,81.00,Alimentação
2021-06-20,Remédio,51.00,Saúde
2021-06-25,Faculdade,485.00,Educação
2021-07-03,Padaria,42.00,Alimentação
2021-07-07,Transporte,72.00,Transporte
2021-07-12,Internet,112.00,Moradia
2021-07-15,Restaurante,82.00,Alimentação
2021-07-20,Remédio,52.00,Saúde
2021-07-25,Faculdade,490.00,Educação
2021-08-03,Padaria,43.00,Alimentação
2021-08-07,Transporte,73.00,Transporte
2021-08-12,Internet,113.00,Moradia
2021-08-15,Restaurante,83.00,Alimentação
2021-08-20,Remédio,53.00,Saúde
2021-08-25,Faculdade,495.00,Educação
2021-09-03,Padaria,44.00,Alimentação
2021-09-07,Transporte,74.00,Transporte
2021-09-12,Internet,114.00,Moradia
2021-09-15,Restaurante,84.00,Alimentação
2021-09-20,Remédio,54.00,Saúde
2021-09-25,Faculdade,500.00,Educação
2021-10-03,Padaria,45.00,Alimentação
2021-10-07,Transporte,75.00,Transporte
2021-10-12,Internet,115.00,Moradia
2021-10-15,Restaurante,85.00,Alimentação
2021-10-20,Remédio,55.00,Saúde
2021-10-25,Faculdade,505.00,Educação
2021-11-03,Padaria,46.00,Alimentação
2021-11-07,Transporte,76.00,Transporte
2021-11-12,Internet,116.00,Moradia
2021-11-15,Restaurante,86.00,Alimentação
2021-11-20,Remédio,56.00,Saúde
2021-11-25,Faculdade,510.00,Educação
2021-12-03,Padaria,47.00,Alimentação
2021-12-07,Transporte,77.00,Transporte
2021-12-12,Internet,117.00,Moradia
2021-12-15,Restaurante,87.00,Alimentação
2021-12-20,Remédio,57.00,Saúde
2021-12-25,Faculdade,515.00,Educação
2020-01-03,Padaria,34.00,Alimentação
2020-01-07,Transporte,64.00,Transporte
2020-01-12,Internet,104.00,Moradia
2020-01-15,Restaurante,74.00,Alimentação
2020-01-20,Remédio,44.00,Saúde
2020-01-25,Faculdade,440.00,Educação
2020-02-03,Padaria,35.00,Alimentação
2020-02-07,Transporte,65.00,Transporte
2020-02-12,Internet,105.00,Moradia
2020-02-15,Restaurante,75.00,Alimentação
2020-02-20,Remédio,45.00,Saúde
2020-02-25,Faculdade,445.00,Educação
2020-03-03,Padaria,36.00,Alimentação
2020-03-07,Transporte,66.00,Transporte
2020-03-12,Internet,106.00,Moradia
2020-03-15,Restaurante,76.00,Alimentação
2020-03-20,Remédio,46.00,Saúde
2020-03-25,Faculdade,450.00,Educação
2020-04-03,Padaria,37.00,Alimentação
2020-04-07,Transporte,67.00,Transporte
2020-04-12,Internet,107.00,Moradia
2020-04-15,Restaurante,77.00,Alimentação
2020-04-20,Remédio,47.00,Saúde
2020-04-25,Faculdade,455.00,Educação
2020-05-03,Padaria,38.00,Alimentação
2020-05-07,Transporte,68.00,Transporte
2020-05-12,Internet,108.00,Moradia
2020-05-15,Restaurante,78.00,Alimentação
2020-05-20,Remédio,48.00,Saúde
2020-05-25,Faculdade,460.00,Educação
2020-06-03,Padaria,39.00,Alimentação
2020-06-07,Transporte,69.00,Transporte
2020-06-12,Internet,109.00,Moradia
2020-06-15,Restaurante,79.00,Alimentação
2020-06-20,Remédio,49.00,Saúde
2020-06-25,Faculdade,465.00,Educação
2020-07-03,Padaria,40.00,Alimentação
2020-07-07,Transporte,70.00,Transporte
2020-07-12,Internet,110.00,Moradia
2020-07-15,Restaurante,80.00,Alimentação
2020-07-20,Remédio,50.00,Saúde
2020-07-25,Faculdade,470.00,Educação
2020-08-03,Padaria,41.00,Alimentação
2020-08-07,Transporte,71.00,Transporte
2020-08-12,Internet,111.00,Moradia
2020-08-15,Restaurante,81.00,Alimentação
2020-08-20,Remédio,51.00,Saúde
2020-08-25,Faculdade,475.00,Educação
2020-09-03,Padaria,42.00,Alimentação
2020-09-07,Transporte,72.00,Transporte
2020-09-12,Internet,112.00,Moradia
2020-09-15,Restaurante,82.00,Alimentação
2020-09-20,Remédio,52.00,Saúde
2020-09-25,Faculdade,480.00,Educação
2020-10-03,Padaria,43.00,Alimentação
2020-10-07,Transporte,73.00,Transporte
2020-10-12,Internet,113.00,Moradia
2020-10-15,Restaurante,83.00,Alimentação
2020-10-20,Remédio,53.00,Saúde
2020-10-25,Faculdade,485.00,Educação
2020-11-03,Padaria,44.00,Alimentação
2020-11-07,Transporte,74.00,Transporte
2020-11-12,Internet,114.00,Moradia
2020-11-15,Restaurante,84.00,Alimentação
2020-11-20,Remédio,54.00,Saúde
2020-11-25,Faculdade,490.00,Educação
2020-12-03,Padaria,45.00,Alimentação
2020-12-07,Transporte,75.00,Transporte
2020-12-12,Internet,115.00,Moradia
2020-12-15,Restaurante,85.00,Alimentação
2020-12-20,Remédio,55.00,Saúde
2020-12-25,Faculdade,495.00,Educação
